Año,Pais,Magnitud,Informacion
2000,Turkey,6,info no valiosa
2000,Turkmenistan,7,info no valiosa
2000,Azerbaijan,6.5,info no valiosa
2000,Azerbaijan ,6.8,info no valiosa
2000,Papua New Guinea,8,info no valiosa
2000,Algeria,5.7,info no valiosa
2000,Colombia,6.5,info no valiosa
2000,Tanzania,6.4,info no valiosa
2000,Ecuador,5.5,info no valiosa
2000,Afghanistan,6.3,info no valiosa
2000,Nicaragua,5.4,info no valiosa
2000,Japan,6.1,info no valiosa
2000,Taiwan,6.4,info no valiosa
2000,Indonesia,6.7,info no valiosa
2000,Turkey,6,info no valiosa
2000,Indonesia,5.5,info no valiosa
2000,Indonesia,7.9,info no valiosa
2000,Taiwan,5.4,info no valiosa
2000,Argentina,7.2,info no valiosa
2000,Indonesia,7.5,info no valiosa
2000,Iran,5.3,info no valiosa
2000,China ,5.9,info no valiosa
2000,shile,9.7,info no valiosa
2001,Peru,5.8,info no valiosa
2001,China,5.5,info no valiosa
2001,Peru,5.8,info no valiosa
2001,Chile,6.3,info no valiosa
2001,Italy,4.7,info no valiosa
2001,Peru,7.6,info no valiosa
2001,Peru ,8.4,info no valiosa
2001,Afghanistan,5,info no valiosa
dos mil uno,China,5.4,info no valiosa
2001,China,5.6,info no valiosa
2001,Japan,6.8,info no valiosa
2001,United States ,6.8,info no valiosa
2001,China,5.6,info no valiosa
2001,El Salvador ,6.6,info no valiosa
2001,India ,7.6,info no valiosa
2001,El Salvador ,7.6,info no valiosa
2002,China,5.5,info valiosa
2002,Pakistan,6.3,info valiosa
2002,Pakistan,5.3,info valiosa
2002,Indonesia,7.2,info valiosa
2002,Pakistan,5.3,info valiosa
2002,Italy ,5.7,info valiosa
2002,Democratic Republic of the Congo,6.2,info valiosa
2002,Indonesia,7.5,info valiosa
2002,India,6.5,info valiosa
2002,Papua New Guinea,7.6,info valiosa
2002,Italy,5.9,info valiosa
2002,Iran,6.5,info valiosa
2002,Tanzania,5.5,info valiosa
2002,Taiwan,6.1,info valiosa
2002,Iran,5.4,info valiosa
2002,Serbia,5.7,info valiosa
2002,Afghanistan,5.8,info valiosa
2002,Papua New Guinea,5.3,info valiosa
2002,Taiwan,7.1,info valiosa
2002,Afghanistan,5.6,info valiosa
2002,Afghanistan ,6.1,info valiosa
2002,Philippines,7.5,info valiosa
2002,Afghanistan ,7.3,info valiosa
2002,Iran,5.3,info valiosa
2002,Turkey,6.5,info valiosa
2002,Greece,6.2,info valiosa
2002,Democratic Republic of the Congo,5.1,info valiosa
2002,Papua New Guinea,6.7,info valiosa
2002,Tajikistan,5.2,info valiosa
2003,Iran ,6.6,info valiosa
2003,Panama,6.5,info valiosa
2003,United States ,6.6,info valiosa
2003,Kazakhstan,6,info valiosa
2003,Philippines,6.5,info valiosa
2003,China,5.6,info valiosa
2003,China,5.1,info valiosa
2003,China,5.8,info valiosa
2003,China,5.8,info valiosa
2003,China,5.6,info valiosa
2003,Russian Federation,7.3,info valiosa
2003,Japan,8.3,info valiosa
2003,Dominican Republic,6.4,info valiosa
2003,China,5.4,info valiosa
2003,Bangladesh,5.4,info valiosa
2003,Bangladesh,5.6,info valiosa
2003,China,5.9,info valiosa
2003,Iran,5.7,info valiosa
2003,Algeria,5.7,info valiosa
2003,Indonesia,6.9,info valiosa
2003,Kazakhstan,5.5,info valiosa
2003,Algeria ,6.8,info valiosa
2003,China,5.8,info valiosa
2003,Turkey ,6.3,info valiosa
2003,Afghanistan,5.8,info valiosa
2003,Indonesia,6.4,info valiosa
2003,China ,5.3,info valiosa
2003,China ,6.3,info valiosa
2003,Turkey,6,info valiosa
2003,Mexico ,7.5,info valiosa
2003,Guatemala,6.4,info valiosa
2004,Indonesia ,9.1,info valiosa
2004,Indonesia,5.5,info valiosa
2004,Indonesia,7.1,info valiosa
2004,Guadeloupe,6.3,info valiosa
2004,Costa Rica,6.4,info valiosa
2004,Indonesia,7.5,info valiosa
2004,Japan ,6.6,info valiosa
2004,Indonesia,5.3,info valiosa
2004,Argentina,6.1,info valiosa
2004,Turkey,5.6,info valiosa
2004,China,5.3,info valiosa
2004,Afghanistan,5.2,info valiosa
2004,New Zealand,5.4,info valiosa
2004,Slovenia,5.2,info valiosa
2004,Turkey,5.1,info valiosa
2004,Iran,6.3,info valiosa
2004,Taiwan,5.2,info valiosa
2004,Afghanistan,6.5,info valiosa
2004,Turkey,5.6,info valiosa
2004,Morocco,5.1,info valiosa
2004,Morocco,4.9,info valiosa
2004,Morocco,5.2,info valiosa
2004,Morocco ,6.3,info valiosa
2004,Indonesia,5,info valiosa
2004,Pakistan,5.3,info valiosa
2004,Pakistan,5.4,info valiosa
2004,Indonesia,7,info valiosa
2004,Indonesia,5.8,info valiosa
2005,India,5.1,info valiosa
2005,Afghanistan ,6.5,info valiosa
2005,Tanzania ,6.8,info valiosa
2005,"Iran, 2005 Qeshm earthquake",5.9,info valiosa
2005,China ,5.2,info valiosa
2005,Vietnam,5.3,info valiosa
2005,Turkey,5.8,info valiosa
2005,Pakistan ,7.6,info valiosa
2005,Peru ,7.5,info valiosa
2005,China,5,info valiosa
2005,Chile,7.8,info valiosa
